"DHA STD/leg. empowerment women" "Support STEPS Towards Development (STD) to undertake a programme of legal education/awareness raising to advance the legal position of women in Bangladesh by means of media-tools" 4
"DVB SF Afghanistan - ASP" "Bijdrage Afghanistan Stabilisation Programme" 4
"DSI Subsidie CNV 2005-2008" "CNV Actie KomOver 2005-2008" 4
"DSI Subsidie FNV 2005-2008" "FNV Mondiaal 2005-2008" 4
"HAR Block Human Rights" "funding various projects" 2
"MNG broad access fin serv" "grant to improve broad based access to financial services" 4
"DVF verplichte contributie ISA" "Verplichte contributie aan de International Seabed Authority" 4
"DAR Health sector co-funding" "to contribute to the funding of the health sector programme" 4
"GUA Lachua fase III" "Lachua al servicio de su gente" 4
"GUA Justicia Ambiental" "Justicia Ambiental, empoderamiento comunitario y equidad social para la conservacion de la region Sarstun-Motagua" 4
"HAN Flood mngt & Mitigation" "MRC - Flood Management Mitigation Program" 4
"DCO TMF HBF/IFFR 2005-2008" "DCO TMF St. Filmfestival Rotterdam - Hubert Bals Fonds vh IFFR" 4
"DMV/VG WW CDA TMF 05-08" "Programma subsidie voor Collaborative Learning Projects, met als doelstelling bestrijding van conflicten op lokaal niveau (vredesopbouw)." 4
"DMV/VG WW TNI TMF 05-08" "TMF programmasubsidie voor het Transnational Institute, gericht op ondersteuning van kennisontwikkeling en bevordering van interregionale netwerken op het gebied van gooed bestuur; focus op Afrika." 4
"JAK PSP Development Facility" "Bevorderen van PPP middels TA" 4
"PRM SECTORPLAN GEZONDHEIDSZORG" "Meerjarig beleidskader voor de gezondheidssector" 2
"KAI Lake Nasser Fl/Dr CA" "Develop a planning support system to analyze managementscenarios for Nile inflows and releases; develop scenarios for floods and droughts, due to climate change, taking into account Nile water management as an integral part of its water policy" 4
"Kai MISR" Decentralisatie 4
"DCO Multicountry support progr" "Sociaal wetensch. hiv/aids onderzoek" 4
"KAI Water Quality Mngt Unit/CA" "strengthening the Water Quality Management Unit in MWRI; strengthen coordination with organizations of MWRI and other ministeries in the field of water quality through nodes and activities in those ministeries" 4
"PRM: CAPACITEITSOPBOUW SCF" "Capaciteitsopbouw SCF" 2
"ISL UNDP Wetlands Project" "Protection and management of 4 wetland areas in Pakistan" 4
"KAI Institutional Reform Unit" "sustainable, effective and efficient use of water resources (a.o. for sustainable irrigated agriculture) through decentra- lization of government management tasks and private sector participation" 4
"DSI WGNRR TMF-sub. 2005-2008" "Informatie, publiciteit, lobby en netwerkvorming mbt repr rechten" 4
"IWTC TMF-subsidie 2005-2007" "IWTC TMF-subsidie 2005-2007" 4
"BOG UNICEF II" "Capacitación en gestion integral de residuos sólidos" 4
"DSI IAC TMF-sub. 2005-2008" "Bestrijding van vrouwenbesnijdenis (FGM) in Africa" 4
"DSI LACWHN TMF-sub. 2005-2008" "Bevordering van gezondheid en rechten van vrouwen in Latijns Amerika en de Cariben" 4
"DMW ECLNV FAO Financ.Strat." "DMW ECLNV FAO Financ.Strategieen" 4
"DMW FAO Africa Stockpiles Pr." "DMW FAO ASP/Africa Stockpiles Program" 4
"DMV/VG RF SID TMF 05-08" "TMF programma subsidie voor het SID (geoormerkt voor de scenario component). SID draagt bij aan democratiseringsprocessen middels o.m. opzetten van een dialoog over bepaalde thema's. Focus op Oost Afrika." 4
"TIR Porto Romano" "Clean up of the Porto Romano hot spot" 4
"DMW HIVOS Biodiv.fonds II" "Het Biodiversiteitsfonds (BDF) ondersteunt initiatieven gericht op armoedebestijding en duurzaam gebruik van agrobiodiversiteit." 4
"DCO BEC/IIEP" "Ondersteuning activiteiten IIEP (kwaliteit, post conflict)" 4
"DCO Soc. eff. AIDS medicijnen" "AIDS medicines in resource-poor settings; learning from transformations in health in Uganda and South Africa" 4
"DSI GIP TMF-sub. 2005-2008" "DSI GIP TMF-sub. 2005-2008" 4
"DSI IDA TMF-sub. 2005-2008" "With a rotating stock of ARV's continuity of AIDS-treatment programs will besecured and at the same time a capacity building program on aspects of procurement, quality control, intellectual property rights, distribution and regulation will be set up" 4
"DSI AMICAALL TMF-sub. 2005-8" "Financieren van lokale respons op HIV/Aids in Afrika" 4
"PEK  Altai Sayan Biodiversity" "Community based conservation of biodiv." 4
"DCO TMF The Art of Development" "Versterking culturele identiteit en cultureel draagvlak Afrika, Azië en Latijns-Amerika." 4
"DCO TMF Music Mayday 2005-2008" "Toekomstperspectief bieden aan jongeren via een internationaal cultureel jongerenplatform." 4
"DAR BEST" "to prioritize and enhance implementation of key interventions to minimize the regulatory costs, risks and barriers to competition facing firms and deliver more efficient public services" 4
"DDE link trade/dev/poverty red" "Onderz. en debat over belang van handel v. armoedebestrijding" 4
"DDE AVALON" "Organisatie landbouw in 5 landen in Centraal & Oost-Europa" 4
"DDE ISCOM" "Bevordering v. duurzaam ketenbeheer en armoedebestrijding" 4
"DDE YDN" "Youth Development Netwerk - Beroepsonderwijs" 4
"JAK ADB State Audit Rfrm STARS" "Support of capacity building in relation to the reform of the state audit system" 4
"GUA Gobernabilidad en Huehue" "Programa Integral de Gobernabilidad en Huehuetenango" 4
"DMW TMF 2005/NCIV" "DMW TMF 2005/NCIV 2005-2008" 4
"DMW TMF 2005/Free Energy F." "DMW TMF 2005/FEF 2005-2008" 4
"DMW TMF 2005/Dorcas" "DMW TMF 2005/Dorcas 2005-2008" 4
"DMW TMF 2005/ITDG" "DMW TMF 2005/ITDG 2005-2008" 4
"DMW TMF 2005/WRI" "DMW TMF 2005/WRI 2005-2008" 4
"DCO Aids remmers interventies" "Development of ART adherence interventions in Burkina Faso and Mali" 4
"DCO Biosafety & environment" "Biosafety policy in Southern Africa" 4
"OAU Dev. Sanitaire 2005-2008" "co-financement du programme d'appui au developpement sanitaire" 4
"JAK Indonesia Wat San Program" "Support to development of water and sanitation sector reform" 4
"DSI IFOR TMF-sub. 2005-8" "DSI IFOR TMF-subsidie 2005-2008" 4
"GUA Convergencia social in Cho" "Convergencia social en el area Chorti: promocion y defensa DDHH y transformacion de conflictos de tierra" 4
"DCO ICIPE 2004-2009" "ICIPE's Human Resource Development for Pest/Vector Management and Biodiversity Conservation in Africa" 4
"PRE SBS Education National" "Sector Budget Support to the National Department of Education" 4
"Education Support Centres KZN" "Rural Education Programme KwaZulu Natal Province" 4
"Education Support Centres NWP" "Sector Budget Support Rural Education programme North West province" 4
"MAP Decentr. Legal Support NRM" "The FAO-CFJJ project supports the effective implementation of progressive new laws regulating natural resources access and use" 4
"PEK Regional Economy" "Bevorderen ontw MKB" 4
"BAM appui mise en oeuvre PAZU" " conservation biodiversité et utilisation durable des ressources" 4
"DMW GTZ/AMES Uganda" "DMW GTZ AMES Uganda" 4
"DDE-SOW VU Bijdrage 2005-2009" "Verbetering van de wereldvoedselvoorziening in het kader van algemene economische ontwikkeling dmv wetenschappelijke activiteiten op het gebied van modellering, training van beleidsadviseurs en advisering van beleidsmakers" 4
"SAA Support to MHR" "Strengthening National HR Capacity" 4
"DMW0048326/IUCN 2005-08Core" "DMW0048326/IUCN 2005-08/Corebijdrage" 4
"DVF BNPP (nieuwe stijl)" "Kanaal voor Nederlandse bijdragen aan trustfunds BW-trustfunds" 4
"MAP Udeba Instituto" "Support to Udeba Instituto 2005-2009" 4
"Forestry incentives" "Forestry incentives for small owners of wooded areas" 4
"KHA Good Governance Sudan" "Good Governance and Equal Participation in Post-Conflict Sudan" 4
"DMW LNV LVDO" "DMW LNV Leren voor Duurz.Ontw." 4
"KAI Advisory Panel Project IV" "Advisory Panel Project on Water Management consisting of Centreal Office in Egypt and Secretariate in NL" 4
"DMW GWP Nation.IWRM Plans" "DMW DML0042083/GWP/National IWRM Plans" 4
"DMW GTZ Energizing Development" "DMW partnerschap om 5 mln mensen duurzaam van energie te voorzien" 4
"PRM: Sectorpl. Huisvesting" "Meerjaren Sectorplan Huisvesting 2005-2009" 2
"DCO REDCAPA" "PHD Economie van de natuurlijke hulpbronnen en duurzame ontwikkeling ism UNAM en UNALM" 4
"Regional Capacity development" "Building competencies of local communities to better deal with HIV/AIDS" 4
"DCO Studie successen NRM Sahel" "Onderzoek successen natural resource management Sahel CIS-VU" 4
"MAP Udeba Laboratory" "Support to Udeba Laboratory" 4
"Research Capacity HEARD" "Support to Stategic Business Plan of Health Economics and HIV/AIDS Research Division, KZN University" 4
"PRM: SECTORFONDS ONDERWIJS" "meerjarig beleidskader voor de sector onderwijs" 2
"KIG Cold storage" "Construction and management of cold storage facility" 4
"DMW0048884/SNV Asia Biogas" "DMW0048884 SNV Toegang biogas in ZO Azie" 4
"DSI programmafinanciering HNI" "versterking gezondheidsinfrastructuur in Soedan,Congo en Burundi" 4
"PRM: AGRARISCH SECTORFONDS" "agrarisch sectorfonds" 2
"TBL-AM MTEF fase 2" "Ondersteuning van MTEF fase 2 gericht op versterking MTEF proces en implementatie programma budgetting" 4
"TBL GEO support Geo parliament" "Strenghtening capacity Geo parliament in dealing with good economic governance and improving democratic parliamentary practices" 4
"Arrang. MICPE renforcement DCE" "Arrangement avec le MICPE pour un renforcement des capacités de sa Direction du Commerce Extérieur (DCE)" 4
"BAM Community Man. HIV/AIDS" "FENASCOM STRATEGIC PLAN" 4
"KIG SSR Police Burundi" "Support to setting up a new, integrated police force in Burundi" 4
"DCO SAHARA" "sociaal wetenschappelijk HIV/AIDS onderzoek" 4
"PRE MiET" "Schools as centres for care and support" 4
"PRE CMRA" "Decentralised response to HIV/AIDS" 4
"MAP Community Land Use Fund" "Framework for local communities, local government authorities and service providers to work as partners to improve access and use of land for community economic growth" 4
"JAK CWSHP Comm water Aceh" "Rehabilitation and establishment of rural drinking-water supply and sanitation systems" 4
"BAM APPUI AMICAALL 2005-2009" "Local response capacity HIV/AIDS control" 4
"GUA partnership CALAS" "Cooperacion interinstitucional entre CALAS y la Embajada Real de los Paises Bajos bajo la modalidad de ¨core funding¨" 4
"DBEP extension NTT" "Decentralized Basic Education Programme in Province Nusa Tenggara Timur" 4
"SAA HSR Support Programme" "Support GoY to enhanceverifiable MDGs related targets" 4
"Kleine ambassade projecten" "Kleine ambassade projecten" 4
"GUA Proyecto Tezulutlan" "Proyecto Tezulutlan para el desarrollo indigena en Alta Verapaz" 4
"DDE- TRTA EPAs supp. to Tralac" "Maximising Benefits from EPA's for Southern and Eastern Africa" 4
"DGI CBI budget 2005" "CBI-alg. ITC en AKV" 4
"DGIS - WUR Partnership" "Research and Capacity Development for poverty alleviation, envrionmental sustainability,and global partnership development" 4
"DVB Oekraïne PfP Trust Fund" "Bijdrage aan NAVO PfP Trustfund tbv vernietiging van kleine wapens, MANPADS en munitie in Oekraïne, fase I" 4
"GUA Fortalecimiento CONAP" "Fortalecimiento a la Gestion de las Areas Protegidas y Biodiversidad de Guatemala" 4
"DHA BEP-IV" "BRAC Primary Education Programme Phase IV." 4
"DCO AERC/CMAP 2005-2010" "AERC/Collaborative Masters Programme Fase VI 2005-2010" 4
"DDE TRTA WTO Doha Dev Agenda" "Assisteren van OS-landen bij onderhandelingen in huidige WTO handelsronde (de Doha Ontwikkelingsronde), zodat OS-landen meer kunnen profiteren van de wereldwijde handelsliberalisering en deze baten kunnen inzetten voor groei en ontwikkeling." 4
"DSI Subsidie Eurostep" "2004 EU Presidency Fund for New Member States" 4
"SKO ATA ISUM" "organisation of international summer university" 4
"DSI SUJ" "Programma Stage/Uitwisseling Jongeren (SUJ)" 4
"DMV/VG RF UNDP POGAR 05-07" "Versterking van de rechtsstaat middels modernisering van het Openbaar Ministerie in een aantal Arabische Staten (Marokko, Jordanie, Yemen en Egypte)." 4
"DMV/MR WW Helsinki TMF 06" "Programmasubsidie voor het Nederlands Helsinki Comite, dat zich richt op bevordering van de internationale rechtsorde waarin mensenrechten zijn gegarandeerd, middels o.m. research activiteiten, uitvoering van projekten en PR werkzaamheden." 4
"DMV/VG WW CMC TMF 2006" "TMF Programmasubsidie voor CMC (Centraal Missie Commissariaat), gericht op Vredesopbouw en Verzoening middels o.m. capaciteitsopbouw en netwerkversterking van partnerorganisaties." 4
"DMV/MR QE SPOLU TMF 2006" "TMF Programma subsidie voor SPOLU, dat zich richt op verbetering van de leefomstandigheden van de Roma in centraal en oost Europa middels capaciteitsversterking van de Roma gemeenschappen." 4
"Dev.Econ.rural Koulikoro" "Appui aux organisations de producteurs et developpement des filières dans troic cercles de la region de koulikoro .Achèvement le 31 decembre 2011" 4
"HAN RHPs Phase III ext. & IV" "Consolidate and sustain high quality RH services, management and training system. To support MOH in implementing objectives of the National RH Strategy" 4
"MNG_Equity in Public Resources" "Project in six municipalities in order to promote the participation of women in the planning, control and evaluation of the local budgets." 4
"DCO IICD-III TMF Inst. subs." "Ontwikkelingslanden assisteren om ICT te gebruiken als strategisch instrument voor duurzame ontwikkeling" 4
"MNG Cleaner Production" "To develop methodologies and tools in order to implement cleaner production in small and medium enterprises." 4
"Sector wide approach health" "Support to the Sector Wide Approach Health" 4
"DMW PPP Water Fund Indonesie" "DMW PPP Water Fund Indonesie/rehabilitatie en uitbreiding watervoorziening Pekan Baru - komt voort uit ""call for ideas""" 4
"ISL Bank-Netherlands WSPP" "Trustfund with WB Pakistan for advisory services in water s" 4
"ADD Basic Ed. Ass." "Support to the institutional development of education NGO networking organisation" 4
"DML LNV BBI VERIFOR" "Ondersteuning van het EU-FLEGT Action Plan: het ontwikkelen van een systeem van monitoring en openbaar toezicht op de bossensector voor het tegengaan van illegale houtkap- en export" 4
"ISL Nat Envir Info Man System" "Establishment of National Environmental Information Management System" 4
"GUA Fondo de Gobernabilidad" "Programa Fondo de Gobernabilidad en Guatemala" 4
"Anticorruption Program" "Support to the integral anticorruption program" 4
"LUS FAWEZA Phase II" "Support to Girls Education" 4
"DMV/VG WW EITI WB Multidonor" "Bijdrage aan het EITI (Extractive Industries Transparency Initiative) Multi Donor Trust Fund, opgericht ter vergroting van transparantie van betalingen door o.m. oliemaatschappijen aan overheden en ontvangsten door overheden." 4
"DCO ATPS Health Techn. Policy" "DCO ATPS Health. Techn. Policy" 4
"KAI Twinning PBDAC - Rabobank" "Support to the twinning between the Principal Bank for Development and Agricultural Credit and Rabobank" 4
"DSI Simavi TMF-subsidie" "Ondersteuning basisgezondheidszorg in ontwikkelingslanden" 4
"DSI  TMF VSO Nederland" "Het versterken van basisorganisaties op gebied van HIV/Aids" 4
"DSI TMF World Vision 2006-2010" "Terugdringen van de verspreiding van HIV/Aids en het verminderen van de impact van HIV/Aids voor aidswezen en kwetsbare kinderen (OVC's) in EDRC, Oeganda en Somalie." 4
"DSI TMFsubsidie Wereldkinderen" "Structurele opvangmogelijkheden in de directe omgeving van kinderen die getroffen zijn door de gevolgen van HIV/Aids" 4
"DSI TMF KNCV 2006-2010" "Ondersteuning en versterking internationale TB bestrijding door KNCV Tubeculosfonds" 4
"DCO PREDUZA fase 3" "participative innovation programme with small farmers in the Andean region" 4
"DHA BRAC/CDSP-III" "NGO component van project dat tot doel heeft de Chars tot verdere ontwikkeling te brengen" 4
"ADD Counter Terrorism Project" "Counter Terrorism" 4
"SAA RH Commodity Security II" "Second phase of support to Reproductive Health Commodity Security in order to increase availability of  commodities in order to address unmet need for Family Planning" 4
"NAI Enhancing Juvenile Justice" "Enhancing the rights of girls and boys in Kenya" 4
"DMV/VG WW OESO GOVNET" "Bijdrage OESO/DAC GOVNET werkplan 2005-2006" 4
"DSI TMF Mamacash 2006-2010" "Doelen van Mama Cash zijn: 1) samenwerking en allianties voor vrouwenrechten, 2) Versterking van de financiéle basis voor vrouwenrechten, 3) versterking van het model van sociale verandering" 4
"DCO LeadLink" "LeadLink netwerk voor onderwijsmanagement" 4
"DAR Res. on Poverty Alleviatio" "Increasing Tanzanian capacity for high-quality impartial socio-economic research on poverty reduction, growth, and monitoring and evaluation" 4
"LUS PPP SPS" "WSSD PPP strengthening phytosanitary services for export-oriented horticultural sector in Zambia" 4
"KIE Pub. Financial Management" "Verbeteren PFM in Moldova" 4
"KAI PPP West Delta Irrigation." "To support the preparation of a Government and WB supported cooperation with the private sector / Public Private Partnership ""West Delta Project for Irrigation Improvement""" 4
"Soutien aux prisonniers" "Uitvoering strategisch plan 1 juli 2005 - 31 juni 2008" 4
"DMW TMF 2006 AQUA FOR ALL" "Vergroten van de toegang van de allerarmsten in rurale en peri-urbane gebieden in ontwikkelingslanden tot deugdelijk drinkwater en sanitatie systemen" 4
"DMW TMF 2006 ST. CONNECT INT." "10 partnerorganisaties & 100 andere lokale organisaties in het zuiden realiseren hoogwaardige kleinschalige projecten, producten en diensten op gebied van AB" 4
"ADD SNV/Ethiopia: BOAM" "Support to Business Organisation and their Access to Markets in Ethiopia" 4
"TIR SPEM III (Albania)" "Strenghtening Public Expenditure Management, phase 3" 4
